Mods count: 177
 
                                     jar name                                      | notes |               mod id                |                     mod name                      |       mod version       |                                                                                                                                             mixin configs                                                                                                                                              |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------------+-------+-------------------------------------+---------------------------------------------------+-------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-26.1.2.59-beta (modloader)                                                |       | neoforge                            | neoforge                                          | neoforge-26.1.2.59-beta |                                                                                                                                                                                                                                                                                                        |                                          |                
[26.1.2] SecurityCraft v1.10.1-beta3.jar                                           |       | securitycraft                       | SecurityCraft                                     | 1.10.1-beta3            | securitycraft.mixins.json                                                                                                                                                                                                                                                                              | 9eebb455a021170c54d948f04f7c4299dec7a049 | 3455223463     
accelerated-decay-neoforge-26.1.2.4.jar                                            |       | accelerateddecay                    | Accelerated Decay                                 | 26.1.2.4                | accelerateddecay.mixins.json                                                                                                                                                                                                                                                                           | 8da9574d793517aab9a1aa404dfdfab9bd451502 | 3503272825     
additional_lights-neoforge-26.1.2-3.1.0.jar                                        |       | additional_lights                   | Additional Lights                                 | 3.1.0                   |                                                                                                                                                                                                                                                                                                        | a619b8b6e60e56d2a61286acff42c6f124b8ec5e | 837946767      
aether_ii-26.1.2-alpha.3.1-neoforge.jar                                            |       | aether_ii                           | The Aether II                                     | 1.0-alpha.3.1           | aether_ii.mixins.json                                                                                                                                                                                                                                                                                  | 69c72e882d69abdff0e6136f1298c66839447f07 | 546855365      
    /META-INF/jarjar/cumulus_menus-26.1.2-2.0.12-neoforge.jar                      |       | cumulus_menus                       | Cumulus                                           | 2.0.12                  | cumulus_menus.mixins.json, cumulus_menus.neoforge.mixins.json                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jarjar/nitrogen_internals-26.1.2-1.3.4-neoforge.jar                  |       | nitrogen_internals                  | Nitrogen                                          | 1.3.4                   | nitrogen_internals.mixins.json                                                                                                                                                                                                                                                                         |                                          |                
alexsmobsneoforge-26.1.2-1.0.5.jar                                                 |       | alexsmobs                           | Alex's Mobs                                       | 26.1-1.0.0              | mixins.alexsmobs.json                                                                                                                                                                                                                                                                                  | dee5329695024c9c4947fca5a8d5d1270347c595 | 3716596500     
allthemodium-4.0.6.jar                                                             |       | allthemodium                        | AllTheModium                                      | 4.0.6                   | allthemodium.mixins.json                                                                                                                                                                                                                                                                               | 23a0d0a2dde02964138a1dc75ca5846bc2a0ccac | 767722604      
alltheores-4.0.4.jar                                                               |       | alltheores                          | AllTheOres                                        | 4.0.4                   |                                                                                                                                                                                                                                                                                                        | 1fe501029084f6bd55bf2d53559c330cc3e75f09 | 313253627      
Amplified_Nether_26.1_v1.2.14.jar                                                  |       | amplified_nether                    | Amplified Nether                                  | 1.2.14                  |                                                                                                                                                                                                                                                                                                        | cf78213066fbe4a121d8ad1320386b09a69eaa9a | 1880441343     
appleskin-neoforge-mc26.1-3.0.9.jar                                                |       | appleskin                           | AppleSkin                                         | 3.0.9+mc26.1            |                                                                                                                                                                                                                                                                                                        | a9837dd537524a4b6a78ec17be41f5af1fc59f92 | 856120283      
appliedenergistics2-26.1.8-alpha.jar                                               |       | ae2                                 | Applied Energistics 2                             | 26.1.8-alpha            | ae2.mixins.json                                                                                                                                                                                                                                                                                        | 8573dcb821a1e868794b462130205ac312b68a51 | 2188648022     
appliedsticks-26.1.2-2.0.1.jar                                                     |       | appliedsticks                       | Applied Construction Sticks                       | 2.0.1                   |                                                                                                                                                                                                                                                                                                        | f6d76cd74c429b1a6e17cee6290ed6c7dd3d8dbc | 2626221261     
Aquaculture-26.1.1-2.9.1.jar                                                       |       | aquaculture                         | Aquaculture 2                                     | 2.9.1                   |                                                                                                                                                                                                                                                                                                        | a2a541fcf7c2d1879488d44cb2bf0c80b15eb3f3 | 1767489130     
artifacts-neoforge-15.0.0.jar                                                      |       | artifacts                           | Artifacts                                         | 15.0.0                  | artifacts.neoforge.mixins.json, artifacts.common.mixins.json                                                                                                                                                                                                                                           | aab67bb0d2310532edc72ee88d69bb782eba1bc1 | 2882804331     
    /META-INF/jarjar/expandability-neoforge-14.0.0.jar                             |       | expandability                       | ExpandAbility                                     | 14.0.0                  | expandability.mixins.json, expandability-common.mixins.json                                                                                                                                                                                                                                            |                                          |                
AttributeFix-neoforge-MC26.1.2-26.1.2.1.jar                                        |       | attributefix                        | AttributeFix                                      | 26.1.2.1                | attributefix.common.mixins.json, attributefix.neoforge.mixins.json                                                                                                                                                                                                                                     | f152bd3b1e7380a4f845aa593e57a7884f845ad9 | 2198179912     
backpack_allthemodium_upgrade-3.0.jar                                              |       | backpack_allthemodium_upgrade       | Sophisticated Backpack Allthemodium Upgrade       | 3.0                     | backpack_allthemodium_upgrade.mixins.json                                                                                                                                                                                                                                                              | afa0f58d38a7b4d94a13c026463d261ad97b83f3 | 723122683      
balm-neoforge-26.1.2-26.1.2.6.jar                                                  |       | balm                                | Balm                                              | 26.1.2.6                | balm.api.mixins.json, balm.mixins.json, balm.neoforge.mixins.json                                                                                                                                                                                                                                      | 8261ac5713d75f83ff2bc359a13510992e4890fa | 113987617      
    /META-INF/jarjar/kuma-api-neoforge-26.1.2.2.jar                                |       | kuma_api                            | KumaAPI                                           | 26.1.2.2                | kuma_api.neoforge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                    |                                          |                
BEB-NeoForge-26.1.2-6.0.0.jar                                                      |       | beb                                 | Beautiful Enchanted Books                         | 6.0.0                   | beb.mixins.json, beb-common.mixins.json                                                                                                                                                                                                                                                                | c0a4321ea249f6dcca7e646b9bb3cfa4c9e65f84 | 629508278      
BiomesOPlenty-neoforge-26.1.2-26.1.2.0.5.jar                                       |       | biomesoplenty                       | Biomes O' Plenty                                  | 26.1.2.0.5              | biomesoplenty.mixins.json, biomesoplenty.neoforge.mixins.json                                                                                                                                                                                                                                          | 5d65798e03b321ff087d798dcb1f6d0e8448e3df | 390907768      
bottleyourxp-26.1.2-3.5.jar                                                        |       | bottleyourxp                        | Bottle Your Xp                                    | 3.5                     | bottleyourxp_neoforge.mixins.json, bottleyourxp_forge.mixins.json, bottleyourxp_fabric.mixins.json                                                                                                                                                                                                     | 1928bc98df0e5d3271119ebf4f94fcff07d77ff7 | 1931952904     
capacitoradditions-3.0.0.jar                                                       |       | capacitoradditions                  | Enderio Capacitor Additions                       | 3.0.0                   |                                                                                                                                                                                                                                                                                                        | c244ece88913e6d07a194168f07b2bfc82f70c3c | 1625535301     
citadelneoforge-26.1-1.0.2.jar                                                     |       | citadel                             | Citadel                                           | 26.1-1.0.2              | citadel.mixins.json                                                                                                                                                                                                                                                                                    | 12336295623205d8882518cdbe6891527a20f3db | 533290863      
cleanswing-1.9-26.1.jar                                                            |       | cleanswing                          | Clean Swing                                       | 1.9.1                   |                                                                                                                                                                                                                                                                                                        | 8737d0f0f3fa73642ffa5697ee1fc6561712df8b | 1426879795     
cloth-config-26.1.154.jar                                                          |       | cloth_config                        | Cloth Config v26.1 API                            | 26.1.154                |                                                                                                                                                                                                                                                                                                        | 1700599980477b0ea72608bfdadee7bdde8b9b75 | 2657190333     
collective-26.1.2-8.22.jar                                                         |       | collective                          | Collective                                        | 8.22                    | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_neoforge.mixins.json, collective_forge.mixins.json                                                                                                                                                                       | 9b8cac26bdaff0229f483f6ee59008b169e69241 | 1245860756     
commoncapabilities-26.1.2-neoforge-2.11.7.jar                                      |       | commoncapabilities                  | CommonCapabilities                                | 2.11.7                  |                                                                                                                                                                                                                                                                                                        | 896ea7f94cfb2d3d7e259b77f2c764e1d330793c | 48417791       
